Binary representation    log evidence    log_evidence_error 
1,0,0,0,0,0,0,0    429.6059614041969    0.0
0,1,0,0,0,0,0,0    0.5389354757785396    0.0
0,0,1,0,0,0,0,0    244.94687829265314    0.0
1,1,0,0,0,0,0,0    430.14489687997525    0.0
0,0,0,1,0,0,0,0    0.4264416681617056    0.0
1,0,1,0,0,0,0,0    426.3247387239283    0.0
0,1,1,0,0,0,0,0    245.48581376843174    0.0
1,1,1,0,0,0,0,0    426.8636741997068    0.0
0,0,0,1,1,0,0,0    162.60911702060372    0.0
0,1,0,1,0,0,0,0    96.7673166108585    0.0
0,0,1,1,0,0,0,0    245.37331996081488    0.0
1,0,1,1,0,0,0,0    426.75118039208996    0.0
1,1,0,1,0,0,0,0    526.3732780150552    0.0
1,1,0,0,1,0,0,0    427.0391987192661    0.0
0,0,0,0,1,1,0,0    173.48792067574726    0.0
1,1,1,1,0,0,0,0    523.092055334787    0.0
1,0,0,1,0,0,0,0    430.0324030723584    0.0
1,0,0,0,1,0,0,0    426.50026324348755    0.0
0,1,1,1,1,0,0,0    399.66511037120966    0.0
0,0,1,1,1,0,0,0    303.3242354285136    0.0
1,1,1,0,1,0,0,0    424.94130184274223    0.0
0,0,0,0,1,1,1,0    238.3264151833456    0.0
1,0,0,1,1,0,0,0    426.9267049116493    0.0
1,0,0,1,0,1,0,0    497.0132413446535    0.0
0,1,1,1,0,0,0,0    341.7141949035118    0.0
0,1,0,1,1,0,0,0    258.9499919633005    0.0
0,1,0,0,1,1,0,0    255.79785401984103    0.0
1,1,1,1,1,0,0,0    521.1696829778223    0.0
1,1,0,1,1,0,0,0    523.2675798543463    0.0
1,0,1,0,1,0,0,0    424.4023663669646    0.0
0,0,0,1,1,1,0,0    229.58995529289876    0.0
0,1,0,0,1,0,0,0    162.72161082822055    0.0
0,0,0,0,1,0,0,0    162.1826753524419    0.0
0,1,1,0,1,0,0,0    303.4367292361307    0.0
1,0,1,1,1,0,0,0    424.82880803512523    0.0
1,0,1,0,1,1,0,0    435.7076116902693    0.0
0,1,0,1,1,1,0,0    257.7998586993613    0.0
0,0,1,0,1,0,0,0    302.89779376035256    0.0
1,1,0,0,1,1,0,0    520.1154419108865    0.0
1,0,0,1,0,0,1,0    427.0131411903414    0.0
0,1,0,0,0,1,1,0    213.9878579156063    0.0
1,0,0,0,1,1,0,0    437.8055085667928    0.0
0,0,0,1,0,1,0,0    67.40727994045555    0.0
0,0,0,0,0,1,1,0    131.67792457151256    0.0
0,1,0,1,0,1,0,0    95.6171833469196    0.0
1,0,0,1,1,1,0,0    493.9075431839456    0.0
0,0,0,1,0,1,1,0    187.779959188663    0.0
0,0,1,1,1,1,0,0    370.30507370080886    0.0
1,1,0,0,0,1,0,0    523.2211400715956    0.0
1,0,1,1,0,1,0,0    493.7320186643864    0.0
1,1,0,1,0,1,0,0    525.2231447511165    0.0
1,0,0,0,0,1,0,0    440.9112067275019    0.0
0,1,0,0,0,1,0,0    93.61517866739888    0.0
0,0,0,0,0,1,0,0    11.305245323305208    0.0
1,1,1,0,1,1,0,0    518.0175450343626    0.0
1,1,1,1,0,1,0,0    521.9419220708481    0.0
0,1,1,0,1,1,0,0    396.51297242774996    0.0
0,1,1,1,0,1,0,0    340.5640616395726    0.0
0,1,0,1,1,0,1,0    323.7884864708976    0.0
0,1,1,1,1,1,0,0    398.51497710727085    0.0
1,1,0,0,0,0,1,0    427.1256349979583    0.0
1,0,0,1,1,0,1,0    425.36489733614735    0.0
1,1,0,0,0,1,1,0    520.2018781895787    0.0
0,0,1,1,0,1,0,0    312.35415823311024    0.0
0,1,0,1,0,0,1,0    217.13999585906583    0.0
1,1,1,0,0,1,0,0    519.9399173913273    0.0
1,0,1,0,0,1,0,0    437.6299840472335    0.0
1,1,1,1,0,0,1,0    520.7543175396693    0.0
1,1,1,1,1,1,0,0    520.0195497138833    0.0
1,1,1,1,1,0,1,0    520.3563440050466    0.0
1,1,1,0,0,0,1,0    424.52593640458946    0.0
0,1,0,0,0,0,1,1    206.25563843404169    0.0
1,0,1,1,0,1,1,0    491.39428086926836    0.0
1,0,1,1,1,1,0,0    491.8096463074205    0.0
0,1,1,0,0,1,0,0    338.5620569600522    0.0
1,1,0,1,1,1,0,0    522.1174465904074    0.0
1,1,0,0,1,1,1,0    518.5536343353858    0.0
0,1,0,1,0,1,1,0    215.98986259512665    0.0
1,0,1,1,1,1,1,0    490.9963073346546    0.0
1,1,0,1,0,0,1,0    523.3540161330384    0.0
1,0,0,0,0,1,1,0    437.891944845485    0.0
0,1,1,1,0,1,1,0    383.24983352173706    0.0
1,0,0,0,1,0,1,0    424.9384556679851    0.0
0,0,0,1,0,0,1,0    120.79912091636902    0.0
0,1,0,0,1,0,1,0    227.56010533581917    0.0
0,0,1,0,1,1,1,0    327.6455541699545    0.0
0,1,0,0,1,1,1,0    320.6363485274377    0.0
1,1,1,1,0,1,1,0    519.6041842757302    0.0
1,0,0,1,0,1,1,0    493.9939794626377    0.0
1,0,0,0,0,0,1,0    426.58669952217974    0.0
1,0,0,1,1,1,1,0    492.3457356084448    0.0
0,1,0,0,0,0,1,0    120.91161472398585    0.0
0,0,0,0,0,0,1,1    138.81929165483393    0.0
0,0,0,0,1,0,1,0    227.02116986004103    0.0
0,0,0,0,0,0,1,0    120.37267924820726    0.0
0,0,1,0,1,1,0,0    314.2030390836578    0.0
0,0,0,1,1,1,1,0    294.4284498004964    0.0
1,1,0,1,0,1,1,0    522.2038828690992    0.0
0,1,0,1,1,1,1,0    322.6383532069579    0.0
1,0,0,1,0,1,1,1    497.0377423083339    0.0
1,1,1,0,1,1,1,0    517.2042060616025    0.0
1,0,1,0,0,0,1,0    423.9870009288106    0.0
0,0,1,1,1,0,1,0    316.766750514808    0.0
1,0,0,0,1,1,1,0    436.243700991291    0.0
0,0,0,1,1,0,1,0    227.44761152820226    0.0
1,0,1,0,0,1,1,0    435.2922462521161    0.0
0,1,0,0,0,1,1,1    215.08268670726386    0.0
0,1,0,1,0,0,0,1    95.02388445469623    0.0
1,1,0,1,0,0,0,1    524.6298458588931    0.0
1,1,0,1,0,0,1,1    521.6105839768762    0.0
1,1,0,0,0,0,0,1    515.4889205900312    0.0
1,1,0,0,1,0,1,0    425.4773911437641    0.0
